Busca,Tempo,Máximo de nós simultâneos na memória,Número de nós expandidos,Número de nós comida expandidos,Número de nós no caminho,Número de nós comida no caminho,Goal
BFS,0.08986449241638184,17,231,171,33,29,1
DFS,0.09367775917053223,25,205,138,111,62,1
Greedy Search - Manhattan,0.029842376708984375,14,60,55,53,49,1
A* Search - Manhattan,0.07671093940734863,18,159,152,45,43,1
Greedy Search - Ghost Avoidance Euclidean,0.10814237594604492,18,267,196,45,23,1
A* Search - Ghost Avoidance Euclidean,0.10547399520874023,17,163,152,49,47,1
A* Search - Wavefront Heuristic,0.08179330825805664,18,160,152,45,43,1
Greedy Search - Wavefront Heuristic,0.013855934143066406,10,32,29,33,29,1
Hill-Climbing  - Manhattan,0.0026886463165283203,2,4,4,4,4,0
Hill-Climbing  - Ghost Avoidance Euclidean,0.0070726871490478516,1,4,4,4,4,0
Hill-Climbing  - Wavefront,0.011918067932128906,1,32,29,33,29,1
Simulated Annealing  - Wavefront,0.1728222370147705,1,474,443,441,412,1
BFS,0.0746383666992187,18,271,192,37,30,1
DFS,0.05189156532287598,31,150,106,109,78,1
Greedy Search - Manhattan,0.03488755226135254,15,73,49,59,42,1
A* Search - Manhattan,0.03878283500671387,28,105,105,51,51,1
Greedy Search - Ghost Avoidance Euclidean,0.4525322914123535,18,95,89,57,57,1
A* Search - Ghost Avoidance Euclidean,0.04224729537963867,20,96,96,57,57,1
A* Search - Wavefront Heuristic,0.04658937454223633,25,108,108,51,51,1
Greedy Search - Wavefront Heuristic,0.018621444702148438,15,36,29,37,30,1
Hill-Climbing  - Manhattan,0.06244087219238281,2,33,19,33,19,0
Hill-Climbing  - Ghost Avoidance Euclidean,0.001073598861694336,1,3,3,3,3,0
Hill-Climbing  - Wavefront,0.004603385925292969,2,1,1,1,1,1
Simulated Annealing  - Wavefront,0.6946358680725098,1,2001,1989,602,591,1
BFS,0.12565112113952637,20,342,248,41,40,1
DFS,0.06339263916015625,33,155,104,139,89,1
Greedy Search - Manhattan,0.021129369735717773,22,46,23,47,24,1
A* Search - Manhattan,0.029712200164794922,24,65,65,43,43,1
Greedy Search - Ghost Avoidance Euclidean,0.07571125030517578,24,107,70,69,42,1
A* Search - Ghost Avoidance Euclidean,0.028781652450561523,25,91,90,43,43,1
A* Search - Wavefront Heuristic,0.02139878273010254,23,45,45,43,43,1
Greedy Search - Wavefront Heuristic,0.023578643798828125,21,40,28,41,29,1
Hill-Climbing  - Manhattan,0.05942201614379883,2,40,28,41,29,1
Hill-Climbing  - Ghost Avoidance Euclidean,0.005715131759643555,1,2,2,2,2,0
Hill-Climbing  - Wavefront,0.027202606201171875,2,40,28,41,29,1
Simulated Annealing  - Wavefront,0.24914073944091797,1,515,373,453,331,1
BFS,0.8833661079406738,17,1006,753,107,60,1
DFS,0.677107572555542,111,740,568,275,213,1
Greedy Search - Manhattan,0.13086581230163574,29,117,96,109,90,1
A* Search - Manhattan,0.7239394187927246,64,773,722,151,150,1
Greedy Search - Ghost Avoidance Euclidean,0.10870242118835449,37,130,76,129,75,1
A* Search - Ghost Avoidance Euclidean,0.6857261657714844,67,745,706,179,178,1
A* Search - Wavefront Heuristic,0.8525228500366211,63,767,722,151,150,1
Greedy Search - Wavefront Heuristic,0.1308736801147461,32,106,59,107,60,1
